filename,path,md5,sha256
README.md,/home/benda/projects/file-hasher/README.md,6bb64b4b441c0cb03bd6373ca27e72eb,2bc4f815beeba2c358704a6ec787362f60231bd55b9c43443d52257037d704ff
file_hasher.py,/home/benda/projects/file-hasher/file_hasher.py,5899a29d8dcaf67884f7c6c11943fc54,a0a468f880b7c3545d96456025a4fd19515c39caeed473ce963be1445bc7519d
